2025-05-05 21:13:38.693 INFO [pid-2473] @run.py:34 Loading data...
323715it [00:13, 24217.46it/s]
10053it [00:00, 26846.56it/s]
1332it [00:00, 33491.27it/s]
2025-05-05 21:13:52.476 INFO [pid-2473] @run.py:40 Time usage: 0:00:14
2025-05-05 21:16:48.950 INFO [pid-2473] @train_eval.py:56 Iter:   2899,  Train Loss:  0.06,  Train Acc: 98.44%,  Val Loss: 0.093,  Val Acc: 96.46%,  Time: 0:02:56 
2025-05-05 21:16:54.857 INFO [pid-2473] @train_eval.py:56 Iter:   2999,  Train Loss: 0.041,  Train Acc: 99.22%,  Val Loss: 0.093,  Val Acc: 96.45%,  Time: 0:03:02 
2025-05-05 21:17:00.978 INFO [pid-2473] @train_eval.py:56 Iter:   3099,  Train Loss: 0.079,  Train Acc: 96.88%,  Val Loss: 0.096,  Val Acc: 96.57%,  Time: 0:03:08 
2025-05-05 21:17:07.172 INFO [pid-2473] @train_eval.py:56 Iter:   3199,  Train Loss:  0.18,  Train Acc: 92.97%,  Val Loss: 0.087,  Val Acc: 96.54%,  Time: 0:03:14 *
2025-05-05 21:17:13.280 INFO [pid-2473] @train_eval.py:56 Iter:   3299,  Train Loss: 0.082,  Train Acc: 96.88%,  Val Loss:  0.09,  Val Acc: 96.53%,  Time: 0:03:20 
2025-05-05 21:17:19.009 INFO [pid-2473] @train_eval.py:56 Iter:   3399,  Train Loss: 0.065,  Train Acc: 96.88%,  Val Loss: 0.093,  Val Acc: 96.65%,  Time: 0:03:26 
2025-05-05 21:17:24.065 INFO [pid-2473] @train_eval.py:56 Iter:   3499,  Train Loss: 0.079,  Train Acc: 96.88%,  Val Loss: 0.089,  Val Acc: 96.60%,  Time: 0:03:31 
2025-05-05 21:17:29.147 INFO [pid-2473] @train_eval.py:56 Iter:   3599,  Train Loss:  0.13,  Train Acc: 94.53%,  Val Loss:  0.09,  Val Acc: 96.59%,  Time: 0:03:36 
2025-05-05 21:17:34.012 INFO [pid-2473] @train_eval.py:56 Iter:   3699,  Train Loss:  0.06,  Train Acc: 97.66%,  Val Loss: 0.097,  Val Acc: 96.36%,  Time: 0:03:41 
2025-05-05 21:17:39.812 INFO [pid-2473] @train_eval.py:56 Iter:   3799,  Train Loss:  0.14,  Train Acc: 95.31%,  Val Loss: 0.089,  Val Acc: 96.53%,  Time: 0:03:47 
2025-05-05 21:17:44.182 INFO [pid-2473] @train_eval.py:56 Iter:   3899,  Train Loss:  0.05,  Train Acc: 98.44%,  Val Loss: 0.086,  Val Acc: 96.69%,  Time: 0:03:51 *
2025-05-05 21:17:50.233 INFO [pid-2473] @train_eval.py:56 Iter:   3999,  Train Loss: 0.057,  Train Acc: 97.66%,  Val Loss: 0.092,  Val Acc: 96.40%,  Time: 0:03:57 
2025-05-05 21:17:56.308 INFO [pid-2473] @train_eval.py:56 Iter:   4099,  Train Loss:  0.16,  Train Acc: 94.53%,  Val Loss: 0.091,  Val Acc: 96.68%,  Time: 0:04:03 
2025-05-05 21:18:02.083 INFO [pid-2473] @train_eval.py:56 Iter:   4199,  Train Loss: 0.054,  Train Acc: 97.66%,  Val Loss: 0.086,  Val Acc: 96.81%,  Time: 0:04:09 
2025-05-05 21:18:07.565 INFO [pid-2473] @train_eval.py:56 Iter:   4299,  Train Loss: 0.084,  Train Acc: 96.88%,  Val Loss: 0.094,  Val Acc: 96.47%,  Time: 0:04:15 
2025-05-05 21:18:13.617 INFO [pid-2473] @train_eval.py:56 Iter:   4399,  Train Loss:  0.12,  Train Acc: 96.09%,  Val Loss:  0.09,  Val Acc: 96.71%,  Time: 0:04:21 
2025-05-05 21:18:19.594 INFO [pid-2473] @train_eval.py:56 Iter:   4499,  Train Loss:  0.12,  Train Acc: 93.75%,  Val Loss:  0.09,  Val Acc: 96.77%,  Time: 0:04:27 
2025-05-05 21:18:25.267 INFO [pid-2473] @train_eval.py:56 Iter:   4599,  Train Loss:  0.11,  Train Acc: 96.09%,  Val Loss: 0.099,  Val Acc: 96.45%,  Time: 0:04:32 
2025-05-05 21:18:31.555 INFO [pid-2473] @train_eval.py:56 Iter:   4699,  Train Loss:  0.11,  Train Acc: 94.53%,  Val Loss: 0.086,  Val Acc: 96.69%,  Time: 0:04:39 
2025-05-05 21:18:37.516 INFO [pid-2473] @train_eval.py:56 Iter:   4799,  Train Loss: 0.041,  Train Acc: 99.22%,  Val Loss: 0.089,  Val Acc: 96.69%,  Time: 0:04:45 
2025-05-05 21:18:43.521 INFO [pid-2473] @train_eval.py:56 Iter:   4899,  Train Loss: 0.072,  Train Acc: 96.88%,  Val Loss: 0.086,  Val Acc: 96.79%,  Time: 0:04:51 *
2025-05-05 21:18:49.252 INFO [pid-2473] @train_eval.py:56 Iter:   4999,  Train Loss:   0.1,  Train Acc: 96.09%,  Val Loss:  0.09,  Val Acc: 96.50%,  Time: 0:04:56 
2025-05-05 21:18:51.887 INFO [pid-2473] @train_eval.py:34 Epoch [3/3]
